id,title,price,imageUrl,createAt
1,A Time to Kill,11.96,https://picsum.photos/200/300?random=1,1641972043194
2,To a God Unknown,3.9,https://picsum.photos/200/300?random=1,1641972043194
3,Stranger in a Strange Land,3.55,https://picsum.photos/200/300?random=1,1641972043194
4,Consider the Lilies,6.04,https://picsum.photos/200/300?random=1,1641972043194
5,A Confederacy of Dunces,10.85,https://picsum.photos/200/300?random=1,1641972043195
6,Jacob Have I Loved,7.43,https://picsum.photos/200/300?random=1,1641972043195
7,Of Human Bondage,12.99,https://picsum.photos/200/300?random=1,1641972043195
8,The Daffodil Sky,9.63,https://picsum.photos/200/300?random=1,1641972043195
9,A Time of Gifts,12.82,https://picsum.photos/200/300?random=1,1641972043195
10,"Absalom, Absalom!",7.37,https://picsum.photos/200/300?random=1,1641972043195
11,After Many a Summer Dies the Swan,3.97,https://picsum.photos/200/300?random=1,1641972043195
12,Blood's a Rover,13.11,https://picsum.photos/200/300?random=1,1641972043195
13,The Far-Distant Oxus,8.51,https://picsum.photos/200/300?random=1,1641972043196
14,That Good Night,3.68,https://picsum.photos/200/300?random=1,1641972043196
15,Eyeless in Gaza,10.13,https://picsum.photos/200/300?random=1,1641972043196
16,An Acceptable Time,11.65,https://picsum.photos/200/300?random=1,1641972043196
17,A Confederacy of Dunces,4.14,https://picsum.photos/200/300?random=1,1641972043196
18,Françoise Sagan,6.54,https://picsum.photos/200/300?random=1,1641972043196
19,The Green Bay Tree,5.75,https://picsum.photos/200/300?random=1,1641972043196
20,I Know Why the Caged Bird Sings,10.45,https://picsum.photos/200/300?random=1,1641972043196
21,Time To Murder And Create,4.06,https://picsum.photos/200/300?random=1,1641972043196
22,The Wind's Twelve Quarters,8.67,https://picsum.photos/200/300?random=1,1641972043197
23,The Glory and the Dream,8.63,https://picsum.photos/200/300?random=1,1641972043197
24,Dance Dance Dance,5.77,https://picsum.photos/200/300?random=1,1641972043197
25,For a Breath I Tarry,9.37,https://picsum.photos/200/300?random=1,1641972043197
26,Vile Bodies,4.62,https://picsum.photos/200/300?random=1,1641972043197
27,Edna O'Brien,5.05,https://picsum.photos/200/300?random=1,1641972043197
28,Beneath the Bleeding,11.79,https://picsum.photos/200/300?random=1,1641972043197
29,Frequent Hearses,10.72,https://picsum.photos/200/300?random=1,1641972043197
30,A Swiftly Tilting Planet,12.04,https://picsum.photos/200/300?random=1,1641972043197
31,The Stars' Tennis Balls,11.89,https://picsum.photos/200/300?random=1,1641972043198
32,The Daffodil Sky,11.88,https://picsum.photos/200/300?random=1,1641972043198
33,"Ah, Wilderness!",6.64,https://picsum.photos/200/300?random=1,1641972043198
34,"Such, Such Were the Joys",6.28,https://picsum.photos/200/300?random=1,1641972043198
35,The Daffodil Sky,9.07,https://picsum.photos/200/300?random=1,1641972043198
36,Cabbages and Kings,4.27,https://picsum.photos/200/300?random=1,1641972043198
37,Endless Night,3.12,https://picsum.photos/200/300?random=1,1641972043198
38,Recalled to Life,7.61,https://picsum.photos/200/300?random=1,1641972043198
39,Tiger! Tiger!,8.26,https://picsum.photos/200/300?random=1,1641972043199
40,"Such, Such Were the Joys",3.22,https://picsum.photos/200/300?random=1,1641972043199
41,A Farewell to Arms,6.0,https://picsum.photos/200/300?random=1,1641972043199
42,A Passage to India,6.47,https://picsum.photos/200/300?random=1,1641972043199
43,After Many a Summer Dies the Swan,6.08,https://picsum.photos/200/300?random=1,1641972043199
44,Antic Hay,3.82,https://picsum.photos/200/300?random=1,1641972043199
45,"If Not Now, When?",3.28,https://picsum.photos/200/300?random=1,1641972043199
46,As I Lay Dying,11.97,https://picsum.photos/200/300?random=1,1641972043199
47,The Grapes of Wrath,8.81,https://picsum.photos/200/300?random=1,1641972043199
48,The Heart Is Deceitful Above All Things,12.37,https://picsum.photos/200/300?random=1,1641972043200
49,By Grand Central Station I Sat Down and Wept,3.19,https://picsum.photos/200/300?random=1,1641972043200
50,As I Lay Dying,3.87,https://picsum.photos/200/300?random=1,1641972043200
51,Some Buried Caesar,5.18,https://picsum.photos/200/300?random=1,1641972043200
52,In Dubious Battle,9.6,https://picsum.photos/200/300?random=1,1641972043200
53,Precious Bane,4.01,https://picsum.photos/200/300?random=1,1641972043200
54,Specimen Days,6.01,https://picsum.photos/200/300?random=1,1641972043200
55,Carrion Comfort,6.82,https://picsum.photos/200/300?random=1,1641972043200
56,Wildfire at Midnight,4.74,https://picsum.photos/200/300?random=1,1641972043201
57,The Needle's Eye,4.44,https://picsum.photos/200/300?random=1,1641972043201
58,No Highway,3.61,https://picsum.photos/200/300?random=1,1641972043201
59,The Moving Toyshop,5.71,https://picsum.photos/200/300?random=1,1641972043201
60,Surprised by Joy,4.74,https://picsum.photos/200/300?random=1,1641972043201
61,The Wives of Bath,4.15,https://picsum.photos/200/300?random=1,1641972043201
62,The Parliament of Man,10.48,https://picsum.photos/200/300?random=1,1641972043201
63,Terrible Swift Sword,6.04,https://picsum.photos/200/300?random=1,1641972043201
64,A Confederacy of Dunces,5.02,https://picsum.photos/200/300?random=1,1641972043202
65,A Handful of Dust,8.67,https://picsum.photos/200/300?random=1,1641972043202
66,Fair Stood the Wind for France,4.43,https://picsum.photos/200/300?random=1,1641972043202
67,The Proper Study,7.5,https://picsum.photos/200/300?random=1,1641972043202
68,In a Dry Season,7.14,https://picsum.photos/200/300?random=1,1641972043202
69,Edna O'Brien,4.48,https://picsum.photos/200/300?random=1,1641972043202
70,For a Breath I Tarry,12.89,https://picsum.photos/200/300?random=1,1641972043202
71,Where Angels Fear to Tread,9.3,https://picsum.photos/200/300?random=1,1641972043202
72,Paths of Glory,12.1,https://picsum.photos/200/300?random=1,1641972043202
73,An Acceptable Time,5.07,https://picsum.photos/200/300?random=1,1641972043203
74,The Road Less Traveled,8.49,https://picsum.photos/200/300?random=1,1641972043203
75,His Dark Materials,11.59,https://picsum.photos/200/300?random=1,1641972043203
76,Things Fall Apart,4.02,https://picsum.photos/200/300?random=1,1641972043203
77,Death Be Not Proud,7.39,https://picsum.photos/200/300?random=1,1641972043203
78,Mr Standfast,9.74,https://picsum.photos/200/300?random=1,1641972043203
79,Ego Dominus Tuus,6.71,https://picsum.photos/200/300?random=1,1641972043203
80,Where Angels Fear to Tread,10.48,https://picsum.photos/200/300?random=1,1641972043203
81,Quo Vadis,12.83,https://picsum.photos/200/300?random=1,1641972043203
82,Ring of Bright Water,10.31,https://picsum.photos/200/300?random=1,1641972043204
83,Fame Is the Spur,5.58,https://picsum.photos/200/300?random=1,1641972043204
84,When the Green Woods Laugh,11.31,https://picsum.photos/200/300?random=1,1641972043204
85,Where Angels Fear to Tread,11.82,https://picsum.photos/200/300?random=1,1641972043204
86,A Scanner Darkly,5.6,https://picsum.photos/200/300?random=1,1641972043204
87,The Heart Is Deceitful Above All Things,7.74,https://picsum.photos/200/300?random=1,1641972043204
88,The Waste Land,11.17,https://picsum.photos/200/300?random=1,1641972043204
89,The Heart Is a Lonely Hunter,6.93,https://picsum.photos/200/300?random=1,1641972043204
90,Gone with the Wind,11.25,https://picsum.photos/200/300?random=1,1641972043204
91,Consider the Lilies,13.2,https://picsum.photos/200/300?random=1,1641972043204
92,In Death Ground,3.31,https://picsum.photos/200/300?random=1,1641972043205
93,Eyeless in Gaza,11.4,https://picsum.photos/200/300?random=1,1641972043205
94,Postern of Fate,12.61,https://picsum.photos/200/300?random=1,1641972043205
95,The Heart Is Deceitful Above All Things,5.33,https://picsum.photos/200/300?random=1,1641972043205
96,Pale Kings and Princes,7.21,https://picsum.photos/200/300?random=1,1641972043205
